"Entity","Superclass(es)","ChemSpider","HMDB","KEGG","PubChemCID","InChIKey","InChICode","FOBI"
"oleuropein","Terpene glycosides","4444876",NA,NA,"5281544","RFWGABANNQMHMZ-ZCHJGGQASA-N","InChI=1S/C25H32O13/c1-3-13-14(9-19(29)35-7-6-12-4-5-16(27)17(28)8-12)15(23(33)34-2)11-36-24(13)38-25-22(32)21(31)20(30)18(10-26)37-25/h3-5,8,11,14,18,20-22,24-28,30-32H,6-7,9-10H2,1-2H3/b13-3+/t14-,18+,20+,21-,22+,24-,25-/m0/s1","FOBI:030751"
"oleanolic acid","Triterpenoids",NA,"HMDB02364","C17148","10494","MIJYXULNPSFWEK-GTOFXWBISA-N","InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1","FOBI:030752"
"d-pinitol","Cyclohexanols","144315",NA,NA,"164619","DSCFFEYYQKSRSV-FEPQRWDDSA-N","InChI=1S/C7H14O6/c1-13-7-5(11)3(9)2(8)4(10)6(7)12/h2-12H,1H3/t2?,3-,4-,5-,6+,7?/m0/s1","FOBI:030755"
"glucose","Hexoses","17341254 | 18503690","HMDB00122","C00031 | D00009","5793","WQZGKKKJIJFFOK-GASJEMHNSA-N","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1","FOBI:030758"
"enterolactone 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"YPASCVZALRQWQG-YROROSIDSA-N","InChI=1S/C24H26O10/c25-15-5-1-3-13(8-15)10-17-14(11-32-23(17)31)7-12-4-2-6-16(9-12)33-24-20(28)18(26)19(27)21(34-24)22(29)30/h1-6,8-9,14,17-21,24-28H,7,10-11H2,(H,29,30)/t14-,17?,18+,19?,20?,21+,24?/m1/s1","FOBI:040239"
"enterolactone 3-sulfate","Dibenzylbutyrolactone lignans",NA,NA,NA,NA,"SPRPHXPXKOEYDB-XPCCGILXSA-N","InChI=1S/C18H18O7S/c19-15-5-1-3-13(8-15)10-17-14(11-24-18(17)20)7-12-4-2-6-16(9-12)25-26(21,22)23/h1-6,8-9,14,17,19H,7,10-11H2,(H,21,22,23)/t14-,17?/m1/s1","FOBI:040240"
"ethylgallate 4-sulfate","Gallic acid and derivatives",NA,NA,NA,NA,"MCMHLNUFWOHPQE-UHFFFAOYSA-N","InChI=1S/C9H10O8S/c1-2-16-9(12)5-3-6(10)8(7(11)4-5)17-18(13,14)15/h3-4,10-11H,2H2,1H3,(H,13,14,15)","FOBI:040241"
"ethylgallate 4-glucuronide","Hydrolyzable tannins",NA,NA,NA,NA,"ZHTVVEZJLVVZOT-YGMDGNCASA-N","InChI=1S/C15H18O11/c1-2-24-14(23)5-3-6(16)11(7(17)4-5)25-15-10(20)8(18)9(19)12(26-15)13(21)22/h3-4,8-10,12,15-20H,2H2,1H3,(H,21,22)/t8-,9-,10+,12-,15+/m0/s1","FOBI:040242"
"3-methylcatechin 4-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"OQBMUBCLLAWJHJ-PYSZTQAZSA-N","InChI=1S/C22H24O12/c1-31-15-4-8(19-12(25)7-10-11(24)5-9(23)6-14(10)32-19)2-3-13(15)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19+,20+,22-/m1/s1","FOBI:08566"
"3-methylcatechin 5-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"WMVRRRYTJXAVND-CNDVCMBASA-N","InChI=1S/C22H24O12/c1-31-15-4-8(2-3-11(15)24)19-12(25)7-10-13(32-19)5-9(23)6-14(10)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16-,17-,18+,19+,20-,22+/m0/s1","FOBI:08567"
"3-methylepicatechin 4-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"OQBMUBCLLAWJHJ-FDRKUGEKSA-N","InChI=1S/C22H24O12/c1-31-15-4-8(19-12(25)7-10-11(24)5-9(23)6-14(10)32-19)2-3-13(15)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1","FOBI:08568"
"3-methylepicatechin 5-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"WMVRRRYTJXAVND-FDRKUGEKSA-N","InChI=1S/C22H24O12/c1-31-15-4-8(2-3-11(15)24)19-12(25)7-10-13(32-19)5-9(23)6-14(10)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1","FOBI:08569"
"3-methylepicatechin 7-glucuronide","Flavonoid-7-O-glucuronides",NA,NA,NA,"101190386","MZJSKSYVZZIYPF-ZRRVXMDUSA-N","InChI=1S/C22H24O12/c1-31-15-4-8(2-3-11(15)23)19-13(25)7-10-12(24)5-9(6-14(10)33-19)32-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,13,16-20,22-28H,7H2,1H3,(H,29,30)/t13-,16+,17+,18-,19-,20+,22-/m1/s1","FOBI:08642"
"4-methylepicatechin 3-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,"101244286","PSOMCIRLFFROES-FDRKUGEKSA-N","InChI=1S/C22H24O12/c1-31-13-3-2-8(19-12(25)7-10-11(24)5-9(23)6-14(10)32-19)4-15(13)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1","FOBI:08643"
"4-methylepicatechin 5-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"FJHGPEXCGXLNNU-FDRKUGEKSA-N","InChI=1S/C22H24O12/c1-31-13-3-2-8(4-11(13)24)19-12(25)7-10-14(32-19)5-9(23)6-15(10)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1","FOBI:08644"
"4-methylepicatechin 7-glucuronide","Flavonoid-7-O-glucuronides",NA,NA,NA,NA,"CJPIUMOCTBARLM-ZRRVXMDUSA-N","nChI=1S/C22H24O12/c1-31-14-3-2-8(4-12(14)24)19-13(25)7-10-11(23)5-9(6-15(10)33-19)32-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,13,16-20,22-28H,7H2,1H3,(H,29,30)/t13-,16+,17+,18-,19-,20+,22-/m1/s1","FOBI:08645"
"catechin 4-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"FXAMKGHSKXKNHR-DAURTTLQSA-N","InChI=1S/C21H22O12/c22-8-4-10(23)9-6-12(25)18(31-14(9)5-8)7-1-2-13(11(24)3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15-,16-,17?,18+,19?,21+/m0/s1","FOBI:08646"
"catechin 5-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"KGLMKAPOVXBIJB-AKIQRXPNSA-N","InChI=1S/C21H22O12/c22-8-4-13-9(6-12(25)18(31-13)7-1-2-10(23)11(24)3-7)14(5-8)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15+,16+,17-,18+,19+,21-/m1/s1","FOBI:08647"
"epicatechin 3-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,"76969982","BUONZQIZWIITTB-CVPXIJHMSA-N","InChI=1S/C21H22O12/c22-8-4-11(24)9-6-12(25)18(31-13(9)5-8)7-1-2-10(23)14(3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15+,16+,17-,18-,19+,21-/m1/s1","FOBI:08648"
"epicatechin 4-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"FXAMKGHSKXKNHR-CVPXIJHMSA-N","InChI=1S/C21H22O12/c22-8-4-10(23)9-6-12(25)18(31-14(9)5-8)7-1-2-13(11(24)3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15+,16+,17-,18-,19+,21-/m1/s1","FOBI:08649"
"epicatechin 5-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"KGLMKAPOVXBIJB-SNFOCDISSA-N","InChI=1S/C21H22O12/c22-8-4-13-9(6-12(25)18(31-13)7-1-2-10(23)11(24)3-7)14(5-8)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12?,15-,16-,17+,18?,19-,21+/m0/s1","FOBI:08650"
"epicatechin 7-glucuronide","Flavonoid-7-O-glucuronides",NA,NA,NA,"76961592","FDWDKTKDGDLDTP-BBGDWMAASA-N","InChI=1S/C21H22O12/c22-10-2-1-7(3-12(10)24)18-13(25)6-9-11(23)4-8(5-14(9)32-18)31-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,13,15-19,21-28H,6H2,(H,29,30)/t13-,15+,16+,17-,18-,19+,21-/m1/s1","FOBI:08651"
"catechin 3-sulfate","Catechins",NA,NA,NA,NA,"VBSMBNMUYITMLB-SWLSCSKDSA-N","InChI=1S/C15H14O9S/c16-8-4-11(18)9-6-12(19)15(23-13(9)5-8)7-1-2-10(17)14(3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1","FOBI:08652"
"catechin 4-sulfate","Catechins",NA,NA,NA,NA,"YKRWCINYMPRAIG-SWLSCSKDSA-N","InChI=1S/C15H14O9S/c16-8-4-10(17)9-6-12(19)15(23-14(9)5-8)7-1-2-13(11(18)3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1","FOBI:08653"
"catechin 5-sulfate","Catechins",NA,NA,NA,NA,"MWSSRHFQMROXGK-SWLSCSKDSA-N","InChI=1S/C15H14O9S/c16-8-4-13-9(14(5-8)24-25(20,21)22)6-12(19)15(23-13)7-1-2-10(17)11(18)3-7/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1","FOBI:08654"
"epicatechin 3-sulfate","Catechins",NA,NA,NA,NA,"FLSYXGAHKYHTCZ-HUUCEWRRSA-N","InChI=1S/C15H14O9S/c16-8-4-11(18)9-6-14(24-25(20,21)22)15(23-13(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,14-19H,6H2,(H,20,21,22)/t14-,15-/m1/s1","FOBI:08655"
"epicatechin 3-sulfate","Catechins",NA,NA,NA,"71260094","VBSMBNMUYITMLB-IUODEOHRSA-N","InChI=1S/C15H14O9S/c16-8-4-11(18)9-6-12(19)15(23-13(9)5-8)7-1-2-10(17)14(3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15-/m1/s1","FOBI:08656"
"epicatechin 4-sulfate","Catechins",NA,NA,NA,"71579043","YKRWCINYMPRAIG-IUODEOHRSA-N","InChI=1S/C15H14O9S/c16-8-4-10(17)9-6-12(19)15(23-14(9)5-8)7-1-2-13(11(18)3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15-/m1/s1","FOBI:08657"
"epicatechin 5-sulfate","Catechins",NA,NA,NA,"71579119","MWSSRHFQMROXGK-IUODEOHRSA-N","InChI=1S/C15H14O9S/c16-8-4-13-9(14(5-8)24-25(20,21)22)6-12(19)15(23-13)7-1-2-10(17)11(18)3-7/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15-/m1/s1","FOBI:08658"
"epicatechin 7-sulfate","Catechins",NA,NA,NA,NA,"RTMISWLJQDWIPT-UKRRQHHQSA-N","InChI=1S/C15H14O9S/c16-10-2-1-7(3-12(10)18)15-13(19)6-9-11(17)4-8(5-14(9)23-15)24-25(20,21)22/h1-5,13,15-19H,6H2,(H,20,21,22)/t13-,15-/m1/s1","FOBI:08659"
"3,4-dihydroxyphenylacetic acid 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"RVIUQHYENGKVCZ-UHFFFAOYSA-N","InChI=1S/C14H16O10/c15-6-2-1-5(4-8(16)17)3-7(6)23-14-11(20)9(18)10(19)12(24-14)13(21)22/h1-3,9-12,14-15,18-20H,4H2,(H,16,17)(H,21,22)","FOBI:08660"
"3,4-dihydroxyphenylacetic acid 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"SOKKQMPCIJPSGH-UHFFFAOYSA-N","InChI=1S/C14H16O10/c15-6-3-5(4-8(16)17)1-2-7(6)23-14-11(20)9(18)10(19)12(24-14)13(21)22/h1-3,9-12,14-15,18-20H,4H2,(H,16,17)(H,21,22)","FOBI:08661"
"3,4-dihydroxyphenylacetic acid 3-sulfate","Phenylsulfates",NA,NA,NA,NA,"KAIXMDKRVHGWDK-UHFFFAOYSA-N","InChI=1S/C8H8O7S/c9-6-2-1-5(4-8(10)11)3-7(6)15-16(12,13)14/h1-3,9H,4H2,(H,10,11)(H,12,13,14)","FOBI:08662"
"3,4-dihydroxyphenylacetic acid 4-sulfate","Phenylsulfates",NA,NA,NA,"193283","ZQTJTTSZJNFQGJ-UHFFFAOYSA-N","InChI=1S/C8H8O7S/c9-6-3-5(4-8(10)11)1-2-7(6)15-16(12,13)14/h1-3,9H,4H2,(H,10,11)(H,12,13,14)","FOBI:08663"
"5-(3,4-dihydroxyphenyl)-γ-valerolactone 4-sulfate","Phenylsulfates",NA,NA,NA,NA,"WAXYAOJFDCCESK-UHFFFAOYSA-N","InChI=1S/C11H12O7S/c12-9-6-7(5-8-2-4-11(13)17-8)1-3-10(9)18-19(14,15)16/h1,3,6,8,12H,2,4-5H2,(H,14,15,16)","FOBI:08664"
"5-(3,5-dihydroxyphenyl)-γ-valerolactone","Resorcinols",NA,NA,NA,"52920453","WAKFBGOXOFLZLZ-UHFFFAOYSA-N","InChI=1S/C11H12O4/c12-8-3-7(4-9(13)6-8)5-10-1-2-11(14)15-10/h3-4,6,10,12-13H,1-2,5H2","FOBI:08665"
"5-(3-hydroxyphenyl)-γ-valerolactone","1-hydroxy-2-unsubstituted benzenoids",NA,NA,NA,NA,"OXASBXALVLRTKO-UHFFFAOYSA-N","InChI=1S/C11H12O3/c12-9-3-1-8(2-4-9)7-10-5-6-11(13)14-10/h1-4,10,12H,5-7H2","FOBI:08666"
"2,3-dihydroxybenzoic acid 2-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"ZZTMNRLDFVIBTG-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-5-3-1-2-4(11(18)19)9(5)22-13-8(17)6(15)7(16)10(23-13)12(20)21/h1-3,6-8,10,13-17H,(H,18,19)(H,20,21)","FOBI:08667"
"2,3-dihydroxybenzoic acid 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"WEIFSGICBUHQQV-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-6-4(11(18)19)2-1-3-5(6)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)","FOBI:08668"
"2,4-dihydroxybenzoic acid 2-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"JRPJGICIYUNHQW-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-4-1-2-5(11(18)19)6(3-4)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)","FOBI:08669"
"2,4-dihydroxybenzoic acid 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"HTVZPXVZCIIMAA-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-6-3-4(1-2-5(6)11(18)19)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)","FOBI:08670"
"2,5-dihydroxybenzoic acid 2-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"YMTKHYRBSOTLTP-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-4-1-2-6(5(3-4)11(18)19)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)","FOBI:08671"
"2,5-dihydroxybenzoic acid 5-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"BCTCNBZWJFQHRF-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-6-2-1-4(3-5(6)11(18)19)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)","FOBI:08672"
"2,3-dihydroxybenzoic acid 3-sulfate","Phenylsulfates",NA,NA,NA,NA,"QDPNFTHYUAKYKM-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-6-4(7(9)10)2-1-3-5(6)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)","FOBI:08673"
"2,4-dihydroxybenzoic acid 4-sulfate","Phenylsulfates",NA,NA,NA,NA,"DRJRXXDGTMEQKU-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-6-3-4(14-15(11,12)13)1-2-5(6)7(9)10/h1-3,8H,(H,9,10)(H,11,12,13)","FOBI:08674"
"2,5-dihydroxybenzoic acid 5-sulfate","Phenylsulfates",NA,NA,NA,"54473656","XKAUVSKGVSQBFW-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-6-2-1-4(14-15(11,12)13)3-5(6)7(9)10/h1-3,8H,(H,9,10)(H,11,12,13)","FOBI:08675"
"hesperetin 5-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,NA,"CBVJYALZVWCCEC-WDXLFLMVSA-N","InChI=1S/C22H22O12/c1-31-12-3-2-8(4-10(12)24)13-7-11(25)16-14(32-13)5-9(23)6-15(16)33-22-19(28)17(26)18(27)20(34-22)21(29)30/h2-6,13,17-20,22-24,26-28H,7H2,1H3,(H,29,30)/t13?,17-,18-,19+,20-,22+/m0/s1","FOBI:08676"
"hesperetin 3-sulfate","4-O-methylated flavonoids",NA,NA,NA,"131750808","AXWNOFHBYPBYNO-UHFFFAOYSA-N","InChI=1S/C16H14O9S/c1-23-12-3-2-8(4-14(12)25-26(20,21)22)13-7-11(19)16-10(18)5-9(17)6-15(16)24-13/h2-6,13,17-18H,7H2,1H3,(H,20,21,22)","FOBI:08677"
"hesperetin 5-sulfate","Flavonoid O-glucuronides",NA,NA,NA,NA,"QRULBSSBAHHSES-ZDUSSCGKSA-N","InChI=1S/C16H14O9S/c1-23-12-3-2-8(4-10(12)18)13-7-11(19)16-14(24-13)5-9(17)6-15(16)25-26(20,21)22/h2-6,13,17-18H,7H2,1H3,(H,20,21,22)/t13-/m0/s1","FOBI:08678"
"3-(3-hydroxyphenyl)propionic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"YFLHDBYZUJBQGB-DKBOKBLXSA-N","InChI=1S/C15H18O9/c16-9(17)5-4-7-2-1-3-8(6-7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-3,6,10-13,15,18-20H,4-5H2,(H,16,17)(H,21,22)/t10-,11-,12+,13-,15+/m0/s1","FOBI:08679"
"3-(4-hydroxyphenyl)propionic acid glucuronide","Glucuronic acid derivatives",NA,NA,NA,NA,"WALCYTHTBOWOFF-PDWCTOEPSA-N","InChI=1S/C15H18O9/c16-9(17)6-3-7-1-4-8(5-2-7)23-15(22)13-11(19)10(18)12(20)14(21)24-13/h1-2,4-5,10-14,18-21H,3,6H2,(H,16,17)/t10-,11-,12+,13-,14+/m0/s1","FOBI:08680"
"3-(4-hydroxyphenyl)propionic acid sulfate","Phenylsulfates",NA,NA,NA,"49844036","YKAVCSNFDHAGEG-UHFFFAOYSA-N","InChI=1S/C9H10O6S/c10-9(11)6-3-7-1-4-8(5-2-7)15-16(12,13)14/h1-2,4-5H,3,6H2,(H,10,11)(H,12,13,14)","FOBI:08682"
"3-methylepicatechin 4-sulfate","Catechins",NA,NA,NA,"71260093","QGMVQGQNIUVPMC-MLGOLLRUSA-N","InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-13(15)25-26(20,21)22)16-12(19)7-10-11(18)5-9(17)6-14(10)24-16/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1","FOBI:08683"
"3-methylepicatechin 5-sulfate","Catechins",NA,NA,NA,NA,"ZFUHNDPCTCXKQO-MLGOLLRUSA-N","InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-11(15)18)16-12(19)7-10-13(24-16)5-9(17)6-14(10)25-26(20,21)22/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1","FOBI:08684"
"3-methylepicatechin 7-sulfate","Catechins",NA,NA,NA,NA,"RIKCESGMRQZLKQ-CZUORRHYSA-N","InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-11(15)17)16-13(19)7-10-12(18)5-9(6-14(10)24-16)25-26(20,21)22/h2-6,13,16-19H,7H2,1H3,(H,20,21,22)/t13-,16-/m1/s1","FOBI:08685"
"4-methylepicatechin 3-sulfate","Catechins",NA,NA,NA,NA,"PCLCJMJFLFTHDU-MLGOLLRUSA-N","InChI=1S/C16H16O9S/c1-23-13-3-2-8(4-15(13)25-26(20,21)22)16-12(19)7-10-11(18)5-9(17)6-14(10)24-16/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1","FOBI:08686"
"4-methylepicatechin 5-sulfate","Catechins",NA,NA,NA,"71579213","JSNCQMRECHVQQQ-MLGOLLRUSA-N","InChI=1S/C16H16O9S/c1-23-13-3-2-8(4-11(13)18)16-12(19)7-10-14(24-16)5-9(17)6-15(10)25-26(20,21)22/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1","FOBI:08687"
"4-methylepicatechin 7-sulfate","Catechins",NA,NA,NA,NA,"NCEYJABYRYYGNC-CZUORRHYSA-N","InChI=1S/C16H16O9S/c1-23-14-3-2-8(4-12(14)18)16-13(19)7-10-11(17)5-9(6-15(10)24-16)25-26(20,21)22/h2-6,13,16-19H,7H2,1H3,(H,20,21,22)/t13-,16-/m1/s1","FOBI:08688"
"3-methylgallic acid 4-glucuronide","Hydrolyzable tannins",NA,NA,NA,NA,"XFEXVGIHNGUIFM-UHFFFAOYSA-N","InChI=1S/C14H16O11/c1-23-6-3-4(12(19)20)2-5(15)10(6)24-14-9(18)7(16)8(17)11(25-14)13(21)22/h2-3,7-9,11,14-18H,1H3,(H,19,20)(H,21,22)","FOBI:08689"
"3-methylgallic acid 5-glucuronide","Hydrolyzable tannins",NA,NA,NA,NA,"ILWDNUVZYSRINE-UHFFFAOYSA-N","InChI=1S/C14H16O11/c1-23-5-2-4(12(19)20)3-6(7(5)15)24-14-10(18)8(16)9(17)11(25-14)13(21)22/h2-3,8-11,14-18H,1H3,(H,19,20)(H,21,22)","FOBI:08690"
"4-methylgallic acid 3-glucuronide","Hydrolyzable tannins",NA,NA,NA,NA,"OEYVJQPXEVSKDH-NJNVDNPHSA-N","InChI=1S/C14H16O11/c1-23-10-5(15)2-4(12(19)20)3-6(10)24-14-9(18)7(16)8(17)11(25-14)13(21)22/h2-3,7-9,11,14-18H,1H3,(H,19,20)(H,21,22)/t7-,8?,9?,11-,14+/m0/s1","FOBI:08691"
"3-methylgallic acid 4-sulfate","Gallic acid and derivatives",NA,NA,NA,NA,"QUGZPKOJDPDIDP-UHFFFAOYSA-N","InChI=1S/C8H8O8S/c1-15-6-3-4(8(10)11)2-5(9)7(6)16-17(12,13)14/h2-3,9H,1H3,(H,10,11)(H,12,13,14)","FOBI:08692"
"3-methylgallic acid 5-sulfate","Gallic acid and derivatives",NA,NA,NA,NA,"JIMIRVGENXXZSQ-UHFFFAOYSA-N","InChI=1S/C8H10O8S/c1-15-5-2-4(8(10)11)3-6(7(5)9)16-17(12,13)14/h2-3,5,7,9H,1H3,(H,10,11)(H,12,13,14)","FOBI:08693"
"4-methylgallic acid 3-sulfate","Gallic acid and derivatives","9000783",NA,NA,"10825483","LMJIEJLSDJBABY-UHFFFAOYSA-N","InChI=1S/C8H8O8S/c1-15-7-5(9)2-4(8(10)11)3-6(7)16-17(12,13)14/h2-3,9H,1H3,(H,10,11)(H,12,13,14)","FOBI:08694"
"1-methylpyrogallol 2-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"WIRBFTWUCRQZDH-UHFFFAOYSA-N","InChI=1S/C13H16O9/c1-20-6-4-2-3-5(14)10(6)21-13-9(17)7(15)8(16)11(22-13)12(18)19/h2-4,7-9,11,13-17H,1H3,(H,18,19)","FOBI:08695"
"1-methylpyrogallol 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"ZCXVNAUYGLECEF-UHFFFAOYSA-N","InChI=1S/C13H16O9/c1-20-5-3-2-4-6(7(5)14)21-13-10(17)8(15)9(16)11(22-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)","FOBI:08696"
"2-methylpyrogallol 1-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"PCYIQKIPHUBFMX-JDQAZDLZSA-N","InChI=1S/C13H16O9/c1-20-10-5(14)3-2-4-6(10)21-13-9(17)7(15)8(16)11(22-13)12(18)19/h2-4,7-9,11,13-17H,1H3,(H,18,19)/t7-,8-,9+,11-,13+/m0/s1","FOBI:08697"
"1-methylpyrogallol 2-sulfate","Phenylsulfates",NA,NA,NA,NA,"DIWVSUYQBQOOTK-UHFFFAOYSA-N","InChI=1S/C7H8O6S/c1-12-6-4-2-3-5(8)7(6)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)","FOBI:08698"
"1-methylpyrogallol 3-sulfate","Phenylsulfates",NA,NA,NA,NA,"NTXOJWKIHIOUQN-UHFFFAOYSA-N","InChI=1S/C7H8O6S/c1-12-5-3-2-4-6(7(5)8)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)","FOBI:08699"
"2-methylpyrogallol 1-sulfate","Phenylsulfates",NA,NA,NA,"122164840","ARLAWMCEVZUXEY-UHFFFAOYSA-N","InChI=1S/C7H8O6S/c1-12-7-5(8)3-2-4-6(7)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)","FOBI:08700"
"naringenin 4-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,"91312540","DFIUUCDSSKATFP-DNPGXZAYSA-N","InChI=1S/C21H20O11/c22-9-5-11(23)15-12(24)7-13(31-14(15)6-9)8-1-3-10(4-2-8)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-6,13,16-19,21-23,25-27H,7H2,(H,28,29)/t13?,16-,17-,18+,19-,21+/m0/s1","FOBI:08701"
"naringenin 5-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,"101242747","ZTQGTBHHQGGBSV-ATVZYYHQSA-N","InChI=1S/C21H20O11/c22-9-3-1-8(2-4-9)12-7-11(24)15-13(30-12)5-10(23)6-14(15)31-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-6,12,16-19,21-23,25-27H,7H2,(H,28,29)/t12?,16-,17-,18+,19-,21+/m0/s1","FOBI:08702"
